# Lineage policy for the methanogenesis route gates (acetate, H2/CO2, methyl). Read by bin/panel_scored.py (role=acetoclastic)
# and by report renderers (both roles). Detection policy lives here, not in code.
#
# role=acetoclastic: a genome with the acetate-route genes is confirmed only when its
#   genus is listed here. Genus level on purpose: Methanosarcinaceae is mostly
#   methylotrophs that do not use acetate (Methanolobus, Methanococcoides,
#   Methanohalophilus, Methanomethylovorans, Methanimicrococcus), and an unnamed genus
#   (GTDB placeholder) is left for review, not confirmed. GTDB suffixes are ignored
#   (Methanothrix_B = Methanothrix).
# role=anabolic_acetate_genes: methanogen orders whose members carry ACDS/CODH, acs,
#   ackA/pta to build biomass from acetate or CO2, not to make methane from acetate.
#   A genome in these orders with the genes is expected, not a candidate.
# role=not_hydrogenotrophic: genera (or families) that carry the C1 (H4MPT) pathway but run it in the oxidative
#   direction (the methyl branch of acetoclasty, or oxidising methyl groups) and do not reduce CO2
#   with H2. A hydrogenotrophic gate met by gene content in these genera is scored absent on
#   taxonomy. Methanosarcina is not listed: species differ (M. barkeri uses H2/CO2, M. acetivorans
#   does not), so it stays a capacity. Hydrogenotrophy is the default for methanogens, so this is a
#   deny list, where acetoclasty (rare) is an allow list. Families: Methanotrichaceae (acetate only),
#   and the ANME / alkane-oxidiser families, which run the whole pathway in reverse and are not
#   methanogens at all.
# role=not_acetoclastic: lineages with a known position on acetate that is "no": they may carry
#   the acetate-route genes but are not acetate users, so a report does not flag them for review.
#   Methylotrophic Methanosarcinaceae genera, and the ANME families (anaerobic methane oxidisers,
#   reverse methanogenesis). Read by report renderers only; the scorer's allow list already scores
#   them absent.
# role=methyl_via_comMT: methylotroph lineages whose substrate-specific methyltransferase has no
#   licence-clean model, so the shared MT2 marker (comMT) alone is accepted there. Anywhere else a
#   comMT-only methyl call is scored absent on taxonomy: in the GTDB r226 sample comMT alone called
#   the methyl route in Methanococcus, Methanoculleus, Methanomicrobium, Methanothrix, Methanocatella.
# role=methane_oxidiser: anaerobic methane / alkane oxidisers. They carry mcr and run the pathway
#   in reverse, so they are not methanogens: the aggregator counts them apart from methanogens and a
#   report names them with the electron acceptor they need. Class Syntropharchaeia is NOT listed
#   whole: it also holds unnamed orders of unknown metabolism.
# GTDB suffixes (_A, _B) mark phylogenetically separate genera in GTDB; matching ignores them on
#   purpose (Methanothrix_B = Methanothrix), a deliberate simplification.
#   Names checked against GTDB r232 (gtdb_taxonomy.tsv) and the r226 sample: exact, no suffixes.
rank	name	role	source
g	Methanosarcina	acetoclastic	Jetten et al. 1992 FEMS Microbiol Rev 8:181
g	Methanothrix	acetoclastic	Jetten et al. 1992 FEMS Microbiol Rev 8:181
g	Methanosaeta	acetoclastic	former name of Methanothrix
g	Methanocrinis	acetoclastic	former Methanothrix harundinacea; obligate acetoclast
o	Methanomicrobiales	anabolic_acetate_genes	hydrogenotrophs
o	Methanobacteriales	anabolic_acetate_genes	hydrogenotrophs (Methanothermobacter trips the gene test)
o	Methanomassiliicoccales	anabolic_acetate_genes	H2-dependent methylotrophs
o	Methanococcales	anabolic_acetate_genes	hydrogenotrophs
o	Methanopyrales	anabolic_acetate_genes	hydrogenotrophs
o	Methanocellales	anabolic_acetate_genes	hydrogenotrophs
g	Methanothrix	not_hydrogenotrophic	Smith & Ingram-Smith 2007 Trends Microbiol 15:150 (acetate only)
g	Methanosaeta	not_hydrogenotrophic	former name of Methanothrix
g	Methanocrinis	not_hydrogenotrophic	Khomyakova et al. 2023 Front Microbiol 14:1233691 (H2, formate, CO, MeOH tested; acetate only)
g	Methanolobus	not_hydrogenotrophic	Oren 2014 The Prokaryotes, Methanosarcinaceae (methylotroph)
g	Methanococcoides	not_hydrogenotrophic	Oren 2014 (methylotroph)
g	Methanohalophilus	not_hydrogenotrophic	Oren 2014 (methylotroph)
g	Methanomethylovorans	not_hydrogenotrophic	Oren 2014 (methylotroph)
g	Methanohalobium	not_hydrogenotrophic	Oren 2014 (methylotroph)
g	Methanosalsum	not_hydrogenotrophic	Oren 2014 (methylotroph)
g	Methanimicrococcus	not_hydrogenotrophic	Oren 2014 (H2-dependent methylotroph; does not reduce CO2)
g	Methanolobus	not_acetoclastic	Oren 2014 (methylotroph)
g	Methanococcoides	not_acetoclastic	Oren 2014 (methylotroph)
g	Methanohalophilus	not_acetoclastic	Oren 2014 (methylotroph)
g	Methanomethylovorans	not_acetoclastic	Oren 2014 (methylotroph)
g	Methanohalobium	not_acetoclastic	Oren 2014 (methylotroph)
g	Methanosalsum	not_acetoclastic	Oren 2014 (methylotroph)
g	Methanimicrococcus	not_acetoclastic	Oren 2014 (H2-dependent methylotroph)
f	Methanoperedenaceae	not_acetoclastic	ANME-2d, anaerobic methane oxidiser
f	Methanocomedenaceae	not_acetoclastic	ANME-2a/b, anaerobic methane oxidiser
f	Methanogasteraceae	not_acetoclastic	ANME-2c, anaerobic methane oxidiser
